Symbol,Name,Index
DHL.DE,Deutsche Post,EURO STOXX 50
DJDA.F,D'Ieteren,BEL 20
DMP.F,Dermapharm,SDAX
DPLM.L,Diploma plc,FTSE 100
DRW3.F,Drägerwerk,SDAX
DSFIR.AS,DSM-Firmenich,AEX
DSY.F,Dassault Systèmes,CAC_40
DTG.F,Daimler Truck,DAX
DUE.F,Dürr AG,SDAX
EAI.F,Groupe Bruxelles Lambert,BEL 20
EDEN.PA,Edenred,CAC_40
EDV.L,Endeavour Mining,FTSE 100
EIA.F,Elisa,OMX Helsinki 25
EKT.F,Energiekontor,SDAX
ELE.MC,Endesa,IBEX 35
ELI.BR,Elia System Operator,BEL 20
ENG.MC,Enagás,IBEX 35
ENI.F,Eni,EURO STOXX 50
ENL.F,Enel,EURO STOXX 50
ENR.F,Siemens Energy,EURO STOXX 50
ENT.L,Entain,FTSE 100
ENUA.F,Stora Enso,OMX Helsinki 25
EOAA.F,E.ON,DAX
EPI-A.ST,Epiroc,OMX Stockholm 30
EQT.ST,EQT AB,OMX Stockholm 30
ER7.F,Eramet,CAC Mid 60
ERCA.F,Ericsson,OMX Stockholm 30
ESL.F,EssilorLuxottica,EURO STOXX 50
ESW.F,Essity,OMX Stockholm 30
EUQ.F,Eurazeo,CAC Mid 60
EUZ.F,Eckert & Ziegler,SDAX
EVD.F,CTS Eventim,MDAX
EVK.F,Evonik Industries,MDAX
EVO.ST,Evolution AB,OMX Stockholm 30
EVT.F,Evotec,MDAX
EXO.AS,Exor,AEX
EXPN.L,Experian,FTSE 100
EZM.F,OPmobility,CAC Mid 60
F5D.F,Covivio,CAC Mid 60
FCIT.L,F & C Investment Trust,FTSE 100
FDR.MC,Fluidra,IBEX 35
FER.AS,Ferrovial,IBEX 35
FME.F,Fresenius Medical Care,DAX
FNA.F,Freenet AG,MDAX
FO4.F,Ageas,BEL 20
FOT.F,Fortum,OMX Helsinki 25
FPE.F,Fuchs Petrolub,MDAX
FRA.F,Fraport,MDAX
FRE.F,Fresenius SE,DAX
FRES.L,Fresnillo plc,FTSE 100
FRYA.F,Swedbank,OMX Stockholm 30
FSE.F,TF1,CAC Mid 60
FTE.F,Orange SA,CAC_40
G1A.F,GEA Group,DAX
G24.F,Scout24,DAX
GBF.F,Bilfinger SE,MDAX
GBRA.F,Geberit AG,Switzerland 20
GDGE.F,Viridien,CAC Mid 60
GFT.F,GFT Technologies,SDAX
GIN.F,Givaudan,Switzerland 20
GLEN.L,Glencore,FTSE 100
GLJ.F,Grenke,SDAX
GRF.MC,Grifols,IBEX 35
GSK.L,GSK plc,FTSE 100
GXI.F,Gerresheimer,MDAX
GYC.F,Grand City Properties,SDAX
GZF.F,Engie,CAC_40
HAB.F,Hamborner,SDAX
HAG.F,Hensoldt,MDAX
HDD.F,Heidelberger Druckmaschinen,SDAX
HEI.F,HeidelbergCement,DAX
HEIA.AS,Heineken International,AEX
HEN.F,Henkel,DAX
HFG.F,HelloFresh,MDAX
HIK.L,Hikma Pharmaceuticals,FTSE 100
HLB.F,Holcim Group,Switzerland 20
HLE.F,Hella,MDAX
HLMA.L,Halma plc,FTSE 100
HLN.L,Haleon,FTSE 100
HMI.F,Hermès,EURO STOXX 50
HMSA.F,H&M,OMX Stockholm 30
HNR1.F,Hannover Re,DAX
HOT.F,Hochtief,MDAX
HSBA.L,HSBC,FTSE 100
HUKI.F,Huhtamäki,OMX Helsinki 25
HWDN.L,Howdens Joinery,FTSE 100
HXG.F,Hexagon AB,OMX Stockholm 30
HYQ.F,Hypoport,SDAX
I7G.F,Ipsen Group,CAC Mid 60
I8P.F,Interparfums,CAC Mid 60
IAG.MC,International Airlines Group,IBEX 35
IBE.MC,Iberdrola,EURO STOXX 50
ICP.L,ICG plc,FTSE 100
IDR.MC,Indra Sistemas,IBEX 35
IES.F,Intesa Sanpaolo,EURO STOXX 50
IFX.F,Infineon Technologies,EURO STOXX 50
IHG.L,IHG Hotels & Resorts,FTSE 100
III.L,3i,FTSE 100
IMB.L,Imperial Brands,FTSE 100
IMCD.AS,IMCD,AEX
IMI.L,IMI plc,FTSE 100
INF.L,Informa,FTSE 100
INGA.AS,ING Group,EURO STOXX 50
INH.F,Indus Holding,SDAX
IPZ.F,Ipsos,CAC Mid 60
ITKA.F,AB InBev,EURO STOXX 50
ITRK.L,Intertek,FTSE 100
IVS.F,Investor AB,OMX Stockholm 30
IXD1.F,Inditex,EURO STOXX 50
IY4.F,Imerys,CAC Mid 60
JD.L,JD Sports,FTSE 100
JEN.F,Jenoptik,MDAX
JST.F,Jost Werke,SDAX
JUN3.F,Jungheinrich,MDAX
K34.F,Konecranes,OMX Helsinki 25
KBX.F,Knorr-Bremse,MDAX
KC4.F,Kone,OMX Helsinki 25
KCO.F,Klöckner & Co,SDAX
KDB.F,KBC Bank,BEL 20
KEK.F,Kesko,OMX Helsinki 25
KEMIRA.HE,Kemira,OMX Helsinki 25
KGF.L,Kingfisher plc,FTSE 100
KGX.F,KION Group,MDAX
KNIN.SW,Kuehne + Nagel,Switzerland 20
KO2.F,Clariane,CAC Mid 60
KPN.AS,KPN,AEX
KRN.F,Krones,MDAX
KWS.F,KWS Saat,SDAX
LAND.L,Landsec,FTSE 100
LEG.F,LEG Immobilien,MDAX
LGEN.L,Legal & General,FTSE 100
LHA.F,Lufthansa Group,MDAX
LLOY.L,Lloyds Banking Group,FTSE 100
LMP.L,LondonMetric Property,FTSE 100
LO3.F,Lonza Group,Switzerland 20
LOG.MC,Logista,IBEX 35
LOR.F,L'Oréal,EURO STOXX 50
LOTB.BR,Lotus Bakeries,BEL 20
LRC.F,Legrand,CAC_40
LSEG.L,London Stock Exchange Group,FTSE 100
LXS.F,Lanxess AG,MDAX
M6Q.F,Metso (2020–present),OMX Helsinki 25
M8Y.F,Mercialys,CAC Mid 60
MAP.MC,Mapfre,IBEX 35
MBG.F,Mercedes-Benz Group,EURO STOXX 50
MCH.F,Michelin,CAC_40
MEX.F,Melexis,BEL 20
MNDI.L,Mondi,FTSE 100
MNG.L,M&G,FTSE 100
MOH.F,LVMH,EURO STOXX 50
MRK.F,Merck Group,DAX
MRL.MC,Merlin Properties,IBEX 35
MRO.L,Melrose Industries,FTSE 100
MT.AS,ArcelorMittal,CAC_40
MTX.F,MTU Aero Engines,DAX
MUV2.F,Munich Re,EURO STOXX 50
N1N.F,Neoen,CAC Mid 60
NA9.F,Nagarro,SDAX
NDA.F,Aurubis,MDAX
NDX.F,Nordex SE,MDAX
NEF.F,Neste,OMX Helsinki 25
NEM.F,Nemetschek,MDAX
NESM.F,Nestlé SA,Switzerland 20
NG.L,National Grid plc,FTSE 100
NN.AS,NN Group,AEX
NOA3.F,Nokia,OMX Helsinki 25
NOEJ.F,Norma Group,SDAX
NOT.F,Novartis,Switzerland 20
NQ9.F,Nexity,CAC Mid 60
NRE.F,Nokian Tyres,OMX Helsinki 25
NTGY.MC,Naturgy,IBEX 35
NWG.L,NatWest Group,FTSE 100
NXT.L,Next plc,FTSE 100
OFK.F,Orion Corporation (pharmaceutical company),OMX Helsinki 25
OLG.F,Verallia,CAC Mid 60
OPA.F,Orpea-Gruppe,CAC Mid 60
OR8.F,Sopra Steria,CAC Mid 60
OUTA.F,Outokumpu,OMX Helsinki 25
PAH3.F,Porsche SE,DAX
PAT.F,Patrizia AG,SDAX
PBB.F,Deutsche Pfandbriefbank,SDAX
PCT.L,Polar Capital Technology Trust,FTSE 100
PER.F,Pernod Ricard,CAC_40
PHIA.AS,Philips,AEX
PHNX.L,Phoenix Group,FTSE 100
PNE3.F,PNE AG,SDAX
PNU.F,Derichebourg,CAC Mid 60
PPX.F,Kering,CAC_40
PRU.L,Prudential plc,FTSE 100
PRX.AS,Prosus,EURO STOXX 50
PSH.AS,Pershing Square Holdings,FTSE 100
PSM.F,ProSiebenSat.1 Media,SDAX
PSN.L,Persimmon plc,FTSE 100
PSON.L,Pearson plc,FTSE 100
PU4.F,Publicis,CAC_40
PUIG.MC,Puig,IBEX 35
PUM.F,Puma (brand),MDAX
QIA.F,Qiagen,DAX
QTCOM.HE,The Qt Company,OMX Helsinki 25
RAA.F,Rational AG,MDAX
RACE.AS,Ferrari,EURO STOXX 50
RAND.AS,Randstad NV,AEX
RB.L,Reckitt,FTSE 100
RCF.F,Teleperformance,CAC_40
RE21.F,Redeia Corporación,IBEX 35
REN.AS,RELX,AEX
REP.MC,Repsol,IBEX 35
RHM.F,Rheinmetall,EURO STOXX 50
RHO.F,Roche Holding AG,Switzerland 20
RIT1.F,Richemont,Switzerland 20
RMV.L,Rightmove,FTSE 100
RNL.F,Renault,CAC_40
ROVI.HE,Laboratorios Rovi,IBEX 35
RPL.F,UPM,OMX Helsinki 25
RRTL.F,RTL Group,MDAX
RTL.F,Deutsche Telekom,EURO STOXX 50
RTO.L,Rentokil Initial,FTSE 100
RWE.F,RWE,DAX
S92.F,SMA Solar Technology,SDAX
SAAB-B.ST,Saab AB,OMX Stockholm 30
SAB.MC,Banco Sabadell,IBEX 35
SAE.F,Shop Apotheke Europe,MDAX
SAN.MC,Banco Santander,EURO STOXX 50
SAP.F,SAP,EURO STOXX 50
SAX.DE,Ströer,MDAX
SBRY.L,Sainsbury's,FTSE 100
SBS.F,Stratec Biomedical Systems,SDAX
SCA.F,SCA,OMX Stockholm 30
SCYR.MC,Sacyr,IBEX 35
SDF.F,K+S,MDAX
SDR.L,Schroders,FTSE 100
SEBA.F,SEB Group,OMX Stockholm 30
SEJ1.F,Safran,EURO STOXX 50
SFQ.F,SAF-Holland,SDAX
SGE.F,Société Générale,CAC_40
SGE.L,Sage Group,FTSE 100
SGM.F,STABILUS SE,MDAX
SGRO.L,Segro,FTSE 100
SHA.F,Schaeffler Group,SDAX
SHB-A.ST,Handelsbanken,OMX Stockholm 30
SHELL.AS,Shell plc,AEX
SHL.F,Siemens Healthineers,DAX
SIE.F,Siemens,EURO STOXX 50
SIKA.F,Sika AG,Switzerland 20
SIX2.F,Sixt,SDAX
SKFA.F,SKF,OMX Stockholm 30
SKNB.F,Skanska,OMX Stockholm 30
SLR.HE,Solaria,IBEX 35
SLW.F,Swiss Life,Switzerland 20
SMIN.L,SES S.A.,CAC Mid 60
SMP.F,Sampo Group,OMX Helsinki 25
SMT.L,Scottish Mortgage Investment Trust,FTSE 100
SN.L,Smith & Nephew,FTSE 100
SND.F,Schneider Electric,EURO STOXX 50
SNW.F,Sanofi,EURO STOXX 50
SOH.F,Soitec,CAC Mid 60
SOL.F,Solvay S.A.,BEL 20
SOON.SW,Sonova,Switzerland 20
SPX.L,Spirax Group,FTSE 100
SQU.F,Vinci SA,EURO STOXX 50
SREN.SW,Swiss Reinsurance Company Ltd,Switzerland 20
SRT.F,Sartorius,TecDAX
SSE.L,SSE plc,FTSE 100
STAN.L,Standard Chartered,FTSE 100
STJ.L,St. James's Place plc,FTSE 100
STLA.F,Stellantis,CAC_40
STO3.F,Sto,SDAX
SVKB.F,Sandvik,OMX Stockholm 30
SVT.L,Severn Trent,FTSE 100
SWJA.F,Swisscom,Switzerland 20
SY1.F,Symrise,DAX
SYENS.BR,Syensqo,BEL 20
SZG.F,Salzgitter AG,SDAX
SZU.F,Südzucker,SDAX
TEG.F,TAG Tegernsee Immobilien und Beteiligung,MDAX
TEL2-B.ST,Tele2,OMX Stockholm 30
TGO.F,Trigano,CAC Mid 60
TKA.F,ThyssenKrupp,MDAX
TLS.F,Telia Company,OMX Stockholm 30
TLX.F,Talanx AG,MDAX
TMV.F,TeamViewer AG,MDAX
TNE5.F,Telefónica,IBEX 35
TPE.F,PVA TePla,SDAX
TSCO.L,Tesco,FTSE 100
TTE.L,TotalEnergies,EURO STOXX 50
TTEB.F,TietoEVRY,OMX Helsinki 25
TUI1.DE,TUI Group,MDAX
UCB.BR,UCB,BEL 20
UCG.MI,UniCredit,EURO STOXX 50
UMG.AS,Universal Music Group,AEX
UMI.BR,Umicore,BEL 20
UNA.AS,Unilever,AEX
URW.AS,Unibail-Rodamco-Westfield,CAC_40
UTDI.F,United Internet,MDAX
UU.L,United Utilities,FTSE 100
V16.F,Virbac,CAC Mid 60
V4OC.F,Kojamo,OMX Helsinki 25
VACD.F,Vallourec,CAC Mid 60
VNA.F,Vonovia,DAX
VOD.L,Vodafone,FTSE 100
VOLV-B.ST,Volvo,OMX Stockholm 30
VOW.F,Volkswagen Group,EURO STOXX 50
VVD.F,Veolia,CAC_40
VVU.F,Vivendi,CAC Mid 60
WAC.F,Wacker Neuson,SDAX
WAF.F,Siltronic,MDAX
WCH.F,Wacker Chemie AG,MDAX
WEIR.L,Weir Group,FTSE 100
WIS.F,Wendel (Beteiligungsgesellschaft),CAC Mid 60
WKL.AS,Wolters Kluwer,EURO STOXX 50
WRT1V.HE,Wärtsilä,OMX Helsinki 25
WTB.L,Whitbread,FTSE 100
XCA.F,Crédit Agricole,CAC_40
YSN.F,Secunet Security Networks,SDAX
ZAL.F,Zalando,DAX
ZFI1.F,Zurich Insurance Group,Switzerland 20
